RANK,NAME,TOURNAMENTS
DANIEL MEKBIB,,
9,200,20
180,,
Flag (hk),,
TSUN HEI YUEN,,
9,199,19.9
181,,
Flag (my),,
SANJAY SINGH,,
9,197,19.7
182,,
Flag (wales),,
EMYR EVANS,,
13,235,19.6
183,,
Flag (hk),,
CHRIS LO,,
11,202,19.4
184,,
Flag (tt),,
KALE WILSON,,
10,190,19
185,,
Flag (nz),,
LUKE JONES,,
9,188,18.8
185,,
Flag (in),,
KUSH KUMAR,,
6,188,18.8
187,,
Flag (il),,
DANIEL POLESHCHUK,,
8,186,18.6
188,,
Flag (bm),,
NOAH BROWNE,,
9,185,18.5
189,,
Flag (fr),,
SEBASTIEN BONMALAIS,,
13,201,18.4
189,,
Flag (ng),,
BABATUNDE AJAGBE,,
12,197,18.4
191,,
Flag (pt),,
CLAUDIO PINTO,,
12,195,18.2
192,,
Flag (co),,
ANDRES HERRERA,,
11,181,18.1
192,,
Flag (england),,
ADAM AUCKLAND,,
8,181,18.1
194,,
Flag (it),,
YURI FARNETI,,
8,180,18
195,,
VIVIAN RHAMANAN,,
12,191,17.9
196,,
Flag (hk),,
HENRY LEUNG,,
7,178,17.8
197,,
Flag (vg),,
JOE CHAPMAN,,
7,176,17.6
198,,
Flag (se),,
RASMUS HULT,,
1,175,17.5
199,,
Flag (no),,
ADRIAN OSTBYE,,
8,174,17.4
200,,
Flag (us),,
DAVID CROMWELL,,
12,183,17.3
201,,
Flag (au),,
SOLAYMAN NOWROZI,,
13,205,17.2
202,,
Flag (br),,
DIEGO GOBBI,,
9,164,16.4
203,,
Flag (mo),,
STEVEN LIU,,
4,163,16.3
204,,
Flag (qa),,
SYED AZLAN AMJAD,,
10,162,16.2
205,,
Flag (ch),,
MANUEL WANNER,,
8,161,16.1
206,,
Flag (au),,
DAVID CLEGG,,
14,191,15.909
206,,
Flag (england),,
BRADLEY MASTERS,,
14,199,15.909
208,,
Flag (ch),,
LUCA WILHELMI,,
11,159,15.9
209,,
Flag (au),,
ROHAN TOOLE,,
12,165,15.8
210,,
Flag (ca),,
THOMAS KING,,
11,156,15.6
210,,
Flag (ie),,
STU HADDEN,,
10,156,15.6
212,,
Flag (england),,
ELLIOT SELBY,,
11,168,15.5
213,,
Flag (england),,
MILES JENKINS,,
10,153,15.3
213,,
Flag (fi),,
JAAKKO VÄHÄMAA,,
6,153,15.3
215,,
Flag (pk),,
BILAL ZAKIR,,
6,152,15.2
216,,
Flag (au),,
MIKE CORREN,,
5,151,15.1
217,,
Flag (england),,
NICK MULVEY,,
9,149,14.9
217,,
Flag (ca),,
CAMERON SETH,,
9,149,14.9
217,,
Flag (kr),,
CHANG-WOOK WOO,,
8,149,14.9
220,,
Flag (au),,
DARCY EVANS,,
12,161,14.7
220,,
Flag (scotland),,
JON GEEKIE,,
8,147,14.7
220,,
Flag (england),,
TAMINDER GATA-AURA,,
8,147,14.7
223,,
Flag (cz),,
JAN RYBA,,
11,151,14.4
224,,
Flag (fr),,
ENZO CORIGLIANO,,
12,151.5,14
225,,
Flag (eg),,
HESHAM MOHAMED ALY,,
9,139,13.9
226,,
Flag (de),,
YANNIK OMLOR,,
12,145.5,13.8
227,,
Flag (kr),,
JONGMYOUNG PARK,,
9,137,13.7
227,,
Flag (pk),,
MUHAMMAD FARHAN,,
7,137,13.7
229,,
Flag (au),,
JOEL LUCA,,
15,183,13.636
230,,
Flag (mx),,
MILED ZARAZUA,,
8,136,13.6
231,,
Flag (eg),,
MUSTAFA NABIL,,
11,144,13.5
231,,
Flag (mx),,
BRYAN CUETO,,
9,135,13.5
233,,
Flag (wales),,
DAVID HALEY,,
9,131,13.1
234,,
MOHAMMED JAFARI,,
9,129,12.9
235,,
Flag (au),,
COURTNEY WEST,,
12,146,12.8
236,,
Flag (kw),,
AHMAD AL-MUDHAF,,
10,127,12.7
237,,
Flag (be),,
JOERI HAPERS,,
8,126,12.6
237,,
Flag (eg),,
KARIM MAGDY,,
6,126,12.6
239,,
Flag (ca),,
JOSHUA HOLLINGS,,
9,125,12.5
239,,
Flag (it),,
STEPHANE GALIFI,,
2,125,12.5
241,,
Flag (england),,
ROBERT DADDS,,
9,124,12.4
242,,
Flag (nl),,
MARC TER SLUIS,,
11,131,12.3
242,,
Flag (us),,
ABBAS MANIAR,,
7,123,12.3
244,,
Flag (se),,
MICHAEL BABRA,,
10,119,11.9
244,,
Flag (my),,
RYAN PASQUAL,,
9,119,11.9
244,,
Flag (scotland),,
SAM ELLIS,,
9,119,11.9
247,,
Flag (mx),,
JUAN GOMEZ DOMINGUEZ,,
6,118,11.8
248,,
Flag (england),,
JAMES PEACH,,
8,117,11.7
249,,
Flag (hk),,
GRAHAM MIAO,,
7,116.5,11.65
250,,
Flag (england),,
MATTHEW BROADBERRY,,
6,112,11.2
250,,
Flag (pk),,
ABBAS SHOUKAT,,
5,112,11.2
252,,
Flag (za),,
JEAN-PIERRE BRITS,,
5,111,11.1
253,,
Flag (eg),,
KHALED LABIB,,
7,109,10.9
254,,
Flag (de),,
HENDRIK VOSSING,,
11,113,10.8
255,,
Flag (scotland),,
RORY STEWART,,
9,105,10.5
255,,
Flag (us),,
SAM GOULD,,
7,105,10.5
257,,
Flag (ca),,
ALBERT SHOIHET,,
7,103,10.3
257,,
SAJAD ZAREIAN JAHROMI,,
7,103,10.3
259,,
Flag (eg),,
OMAR BAHGAT,,
9,102,10.2
260,,
Flag (ca),,
BROCK JANZER,,
6,101.5,10.15
261,,
SAMIEOLLAH GHASED ABADI,,
10,101,10.1
261,,
NAVID MALEKSABET,,
7,101,10.1
263,,
Flag (nz),,
ZAC MILLAR,,
10,99,9.9
264,,
Flag (iq),,
MOHAMMED FERMAN HASAN,,
11,109,9.6
264,,
Flag (england),,
PHIL NIGHTINGALE,,
10,96,9.6
266,,
Flag (my),,
MARCUS SIM WEI JIE,,
9,95,9.5
267,,
Flag (fi),,
KRISTIAN RAUTIAINEN,,
7,94,9.4
267,,
Flag (my),,
BRYAN LIM TZE KANG,,
6,94,9.4
269,,
Flag (at),,
JAKOB DIRNBERGER,,
8,93,9.3
269,,
Flag (ar),,
GONZALO MIRANDA,,
4,93,9.3
271,,
Flag (qa),,
UMAIR ZAMAN,,
7,91.5,9.15
272,,
Flag (scotland),,
KEVIN MORAN,,
5,91,9.1
273,,
Flag (my),,
LE ROY LEONG,,
12,93,9.05
274,,
Flag (england),,
LEWIS DOUGHTY,,
8,90,9
275,,
Flag (iq),,
AHMED AL KIREMLI,,
13,105.5,8.9
275,,
Flag (mx),,
FERNANDO MAGDALENO,,
7,89,8.9
275,,
Flag (pk),,
